"Population","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Tenure","MonthlyCharge","Bandwidth_GB_Year","Response","Fix","Replacement","Reliability","Options","Respectful","Courteous","Listening","Area_Rural","Area_Suburban","Area_Urban","Marital_Divorced","Marital_Married","Marital_Never_Married","Marital_Separated","Marital_Widowed","Gender_Female","Gender_Male","Gender_Nonbinary","Churn_No","Churn_Yes","Techie_No","Techie_Yes","Contract_Month_to_month","Contract_One_year","Contract_Two_Year","Port_modem_No","Port_modem_Yes","Tablet_No","Tablet_Yes","InternetService_DSL","InternetService_Fiber_Optic","InternetService_None","Phone_No","Phone_Yes","Multiple_No","Multiple_Yes","OnlineSecurity_No","OnlineSecurity_Yes","OnlineBackup_No","OnlineBackup_Yes","DeviceProtection_No","DeviceProtection_Yes","TechSupport_No","TechSupport_Yes","StreamingTV_No","StreamingTV_Yes","StreamingMovies_No","StreamingMovies_Yes","PaperlessBilling_No","PaperlessBilling_Yes","PaymentMethod_Bank_Transfer_automatic_","PaymentMethod_Credit_Card__automatic_","PaymentMethod_Electronic_Check","PaymentMethod_Mailed_Check"
0.000366328616049049,0,0.704225352112676,0.10912047373985,0.37325985218628,0.409090909090909,0,0.166666666666667,0.0815676055144034,0.439984686571428,0.106124827389459,0.666666666666667,0.666666666666667,0.571428571428571,0.333333333333333,0.5,0.428571428571429,0.333333333333333,0.5,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
0.100701808506536,0.1,0.126760563380282,0.082598848672741,0.549536512099894,0.5,0,0.166666666666667,0.00213521580418937,0.773872405730779,0.091175799788388,0.333333333333333,0.5,0.285714285714286,0.333333333333333,0.5,0.285714285714286,0.5,0.5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0
0.0360062468669263,0.4,0.450704225352113,0.0358183225248705,0.504705052218576,0.363636363636364,0,0.166666666666667,0.207764925409087,0.38047453168342,0.272164233880795,0.5,0.5,0.142857142857143,0.5,0.5,0.285714285714286,0.333333333333333,0.333333333333333,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
0.109435853931284,0,0.915492957746479,0.153646134590396,0.381270925108586,0.681818181818182,0.285714285714286,0.166666666666667,0.0093798618536745,0.33290010150273,0.01473837832275,0.5,0.5,0.428571428571429,0.333333333333333,0.5,0.428571428571429,0.5,0.666666666666667,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
0.17064165349169,0.3,0.915492957746479,0.0862941590518551,0.394232032987831,0.636363636363636,0.428571428571429,0.166666666666667,0.0844621439360614,0.499705311893709,0.125587799978438,0.333333333333333,0.333333333333333,0.285714285714286,0.166666666666667,0.5,0.285714285714286,0.333333333333333,0.333333333333333,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0
0.0244379747811669,0,0.859154929577465,0.0430042262673397,0.525073385514303,0.409090909090909,0,0.166666666666667,0.172303550056068,0.571599465871265,0.250876237236319,0.833333333333333,0.666666666666667,0.714285714285714,0.5,0,0.571428571428571,0.666666666666667,0.666666666666667,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
0.167267574133344,0.2,0.436619718309859,0.225431763192886,0.26716870784498,0.863636363636364,0.285714285714286,0.5,0.101643559538654,0.178368333394075,0.165072887919028,0.666666666666667,0.5,0.428571428571429,0.333333333333333,0.5,0.285714285714286,0.5,0.5,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0.194665098523117,0.1,0.957746478873239,0.192931109455996,0.40782110020085,0.772727272727273,0.142857142857143,0,0.0340472404373879,0.392536061920566,0.0489908799501303,0.166666666666667,0.166666666666667,0.142857142857143,0.166666666666667,0.666666666666667,0.142857142857143,0.333333333333333,0.333333333333333,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1
0.32171364670497,0.2,0.535211267605634,0.0695931492009558,0.311788924396749,0.727272727272727,0.142857142857143,0.166666666666667,0.134061384458645,0.332965649599865,0.145975970156967,0.5,0.5,0.285714285714286,0.5,0.5,0.428571428571429,0.333333333333333,0.5,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
0.00535996606640188,0,0.915492957746479,0.3222655416784,0.387262114045728,0.363636363636364,0,0,0.169130082634122,0.273384113562019,0.148256757198644,0,0.166666666666667,0,0.5,0.333333333333333,0.142857142857143,0.333333333333333,0.333333333333333,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
