"Population","Children","Age","Income","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Tenure","MonthlyCharge","Bandwidth_GB_Year","Response","Fix","Replacement","Reliability","Options","Respectful","Courteous","Listening","State_AK","State_AL","State_AR","State_AZ","State_CA","State_CO","State_CT","State_DC","State_DE","State_FL","State_GA","State_HI","State_IA","State_ID","State_IL","State_IN","State_KS","State_KY","State_LA","State_MA","State_MD","State_ME","State_MI","State_MN","State_MO","State_MS","State_MT","State_NC","State_ND","State_NE","State_NH","State_NJ","State_NM","State_NV","State_NY","State_OH","State_OK","State_OR","State_PA","State_PR","State_RI","State_SC","State_SD","State_TN","State_TX","State_UT","State_VA","State_VT","State_WA","State_WI","State_WV","State_WY","Area_Rural","Area_Suburban","Area_Urban","Marital_Divorced","Marital_Married","Marital_Never_Married","Marital_Separated","Marital_Widowed","Gender_Female","Gender_Male","Gender_Nonbinary","Churn_No","Churn_Yes","Techie_No","Techie_Yes","Contract_Month_to_month","Contract_One_year","Contract_Two_Year","Port_modem_No","Port_modem_Yes","Tablet_No","Tablet_Yes","InternetService_DSL","InternetService_Fiber_Optic","InternetService_None","Phone_No","Phone_Yes","Multiple_No","Multiple_Yes","OnlineSecurity_No","OnlineSecurity_Yes","OnlineBackup_No","OnlineBackup_Yes","DeviceProtection_No","DeviceProtection_Yes","TechSupport_No","TechSupport_Yes","StreamingTV_No","StreamingTV_Yes","StreamingMovies_No","StreamingMovies_Yes","PaperlessBilling_No","PaperlessBilling_Yes","PaymentMethod_Bank_Transfer_automatic_","PaymentMethod_Credit_Card__automatic_","PaymentMethod_Electronic_Check","PaymentMethod_Mailed_Check"
38,0,68,28561.99,7.978322947,10,0,1,6.795512947,172.455519,904.5361102,5,5,5,3,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
3735,4,50,9609.57,10.75280028,9,0,1,15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
13863,1,48,18925.23,14.91353964,15,2,0,17.08722662,119.95684,2164.579412,4,4,4,2,5,4,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
11352,0,83,40074.19,8.147416533,16,2,1,1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1
2535,0,79,11467.5,11.18272453,10,0,1,13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
23144,2,30,26759.64,7.791632265,16,0,0,4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
17351,2,49,58634.51,5.739005915,20,2,3,8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0
555,7,23,22580.7,9.341631685,9,0,2,19.26726194,174.958118,2728.767869,4,4,4,7,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1
33372,2,56,18342.12,6.68082638,17,1,1,10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0
556,0,83,83671.08,8.273875452,9,0,0,13.01149229,137.439154,1196.388018,1,2,1,4,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
